ID,ch,Study Area,AgeClass,Sex,DS,CS,CT
1,1010101010101100,A,Juvenile,Female,0.629182776,-0.221225167,2.112591444
2,1100000000000000,A,Adult,Male,-1.042771081,-1.984727263,0.213118742
3,1010101010110000,A,Juvenile,Male,-2.2539329,-2.211617182,0.726505705
4,1010101010101010,A,Juvenile,Male,-1.539041513,-0.026221938,-0.974921054
5,1010101010101011,A,Juvenile,Female,-0.209814355,0.816068043,0.569112378
6,1010101010101010,A,Juvenile,Male,0.390980641,-0.319885331,-0.00561674
7,1010101100000000,A,Adult,Female,-2.402650328,-2.452688883,1.367188794
8,1011000000000000,A,Adult,Female,-0.918887349,-2.364373117,-0.6232758
9,1011000000000000,A,Adult,Male,0.605817268,0.251429391,-0.206600758
10,1010101100000000,A,Juvenile,Female,-0.605853189,0.516186939,0.520258474
11,1010101010101010,A,Adult,Female,0.916707618,0.26771016,-0.132955379
12,1010101010101010,A,Juvenile,Male,-0.497533469,1.084321848,1.079055282
13,1010101011000000,A,Adult,Male,-1.234031281,0.239919762,-1.118783316
14,1011000000000000,A,Adult,Female,-0.856771885,-1.875891387,0.239394726
15,1010101100000000,A,Juvenile,Male,1.881046828,0.523269146,1.420343044
16,1011000000000000,A,Adult,Female,0.247486238,1.079143294,-0.632940597
17,1010101010101010,A,Adult,Male,-0.297197383,0.817489233,0.298512497
18,1010110000000000,A,Adult,Male,-1.084415563,0.66286942,-0.898092032
19,1010101010101010,A,Juvenile,Male,-1.285509675,-0.81598517,-1.738638779
20,1010101010101010,A,Juvenile,Female,-2.220324774,-0.604685628,-0.401061861
21,1011000000000000,A,Juvenile,Male,0.250675561,0.14472751,2.038057243
22,1010101010101010,A,Adult,Female,1.613826447,0.040818928,1.336619731
23,1010101011000000,A,Adult,Male,-0.232054118,0.246354166,0.881671094
24,1010101010101010,A,Adult,Female,1.014454301,1.007008208,0.110955079
25,1010101010101010,A,Adult,Male,0.606535434,0.39260509,1.387442886
26,1010101011000000,A,Adult,Male,-0.304393946,-0.387397671,0.508735016
27,1010101010101010,A,Adult,Female,-1.015968182,0.287112445,0.484141258
28,1100000000000000,A,Juvenile,Female,0.153421045,1.439841108,0.0963094
29,1010101010101010,A,Juvenile,Female,-0.603176249,-0.029182683,-2.546964942
30,1010101010110000,A,Juvenile,Female,0.138504194,-2.111235678,-0.173772612
31,1100000000000000,A,Juvenile,Female,0.819687002,-0.608107673,2.058327258
32,1010101011000000,A,Adult,Female,0.12372111,2.126977643,-0.959075888
33,1010101011000000,A,Juvenile,Male,-1.912772795,-1.049685949,0.828717771
34,1100000000000000,A,Adult,Male,-1.151135524,-1.556413787,-0.599776772
35,1010101010110000,A,Juvenile,Male,0.838281781,0.435840738,-0.000314553
36,1010101011000000,A,Adult,Female,-0.111249225,0.004925759,-0.110373878
37,1010101100000000,A,Juvenile,Male,-0.424082997,-1.609781311,-0.52016079
38,1010101010101010,A,Adult,Female,-0.066092017,-0.38445621,-0.348030584
39,1010101011000000,A,Juvenile,Male,-0.020322354,-0.272942113,-1.668827396
40,1010101010101011,A,Adult,Male,1.225289503,0.78018584,-0.840862818
41,1010101010101010,A,Juvenile,Female,0.105932762,1.233818422,0.985512227
42,1010101010101010,A,Adult,Female,1.084671395,-0.881929988,-1.194328735
43,1011000000000000,A,Adult,Male,-0.776881816,0.237254762,0.766377294
44,1010101010101010,A,Juvenile,Female,0.058275993,-0.297273709,0.49628325
45,1010101010110000,A,Juvenile,Male,-0.886819579,1.569814446,-0.385971748
46,1010101010101010,A,Adult,Female,-0.06549817,-0.27800315,-0.841558723
47,1011000000000000,A,Juvenile,Female,-0.331094025,0.089369659,1.673467105
48,1010101010101010,A,Adult,Male,-0.507661955,0.14022915,1.382451447
49,1010101010101010,A,Adult,Male,0.367246386,-1.528724863,-0.870036861
50,1011000000000000,A,Adult,Male,0.347217679,-0.675545369,-0.214411285
